"atom_id","element","x","y","z","grad_x","grad_y","grad_z"
"0","5","4.6616480819015145","4.245095852575029","4.235472132593464","3.0000238650146085","-4.373262369164189","0.5190637184073805"
"1","5","7.321155335278425","5.3773010724887005","4.433249503886695","7.776250909867057","10.534452628893785","3.370835530329872"
"2","5","5.865544310502116","6.418749398141865","2.156919749367908","-1.5453628874526295","0.030299032647393975","-3.0357758699963613"
"3","5","6.34469928366626","4.026393828059547","3.7242062064141375","-8.110627517320617","-1.5005959885122648","-3.05546962989262"
"4","5","7.047641403311307","5.272877398927964","2.6412847736041942","-9.186909292817482","3.034511638380323","-0.2905106294029399"
"5","5","6.012251518869141","4.589484828334218","5.367569731796814","-9.893048550111873","-6.040366571900562","-0.15854393786888665"
"6","5","6.927492930709412","6.836308340999702","3.5153867106521117","9.848343178581835","2.5998852849972343","7.967048666228727"
"7","5","5.334514951187376","4.714719611528849","2.4608150253035928","-7.8193112268828475","3.6506041608221693","0.5192886549110097"
"8","5","6.1985893291082395","6.38071090491009","5.3008272022639185","3.937921439840145","-6.7463642153985655","-0.0190674701703597"
"9","1","4.582850780085125","5.877286739855308","2.5146236768686383","1.0632433542963498","-3.0486860150342308","2.4494908092449417"
"10","1","5.829905000416464","7.049551270652744","1.1013262817764315","1.388838249489954","1.700419454113845","0.5778624203064069"
"11","1","7.711496858304346","7.781950201480789","3.448581885916596","-0.6436144309446519","-0.09475897173951814","0.06635412236042046"
"12","1","6.649165274813357","2.830986000902381","3.574015493926026","1.2274226042472995","1.1547639781106755","0.11775287381167886"
"13","1","8.468679096283363","5.289383725398619","4.887537455434873","-0.2397051270685618","0.9077628368688545","-2.004422031672678"
"14","1","5.71624898756106","7.361492376856927","3.1470673553199235","-0.39968215700383825","0.9272921596403555","-1.0798307769161188"
"15","1","4.920623130244","4.0715705747868665","1.5036271979928244","0.17577016551019525","0.46952837247126544","0.3671734006643947"
"16","1","8.012143452519988","4.894760784642381","1.922465608837048","0.012891692942687924","1.4676853900925733","-0.10773473310592918"
"17","1","3.8153177537499783","5.346220455718255","4.274196445938897","-0.4202535051791319","0.03033136725254959","-0.038281550144245974"
"18","1","6.339607129012258","3.8350711890531546","6.321070028745553","-1.1052500252733064","0.3096127372117543","0.7606485420556157"
"19","1","3.882635440126732","3.24724193541368","4.384817180746094","-0.38075405951184105","1.2706473146002053","-0.9647594904238086"
